,Average (Mean),Tolerance (Std)
left_hip_y,0.5302982094058705,0.07271234365361054
left_hip_z,0.027104828812843727,0.13264964811137273
left_hip_v,0.9988998176507008,0.0024892307253621296
right_hip_x,0.4219208165208236,0.1733843250066834
right_hip_y,0.531238671451334,0.07077105400306455
right_hip_z,-0.02706378995684791,0.1326272430236323
right_hip_v,0.9986381967284271,0.004151941306037787
left_knee_x,0.5270410444015864,0.14182914105061767
left_knee_y,0.6427449917903653,0.09311424440755398
left_knee_z,0.02505090803036679,0.2565756645278072
left_knee_v,0.8893354893358165,0.20354582745407632
right_knee_x,0.40121556093794747,0.17396999130945354
right_knee_y,0.6471597667934613,0.09004305047305577
right_knee_z,0.05203565679607931,0.23202877234306232
right_knee_v,0.8941711117907688,0.1956234783144077
left_ankle_x,0.5464287827175761,0.16365113786485194
left_ankle_y,0.7458878430345702,0.11776519428344624
left_ankle_z,0.3310324463160772,0.3763041151189491
left_ankle_v,0.877141597208516,0.21413599984621476
right_ankle_x,0.38216942208416665,0.19975391352474653
right_ankle_y,0.7399683094187599,0.11232305957845035
right_ankle_z,0.40639350474875224,0.33618982887033916
right_ankle_v,0.8724503075088845,0.22182448534191168
left_heel_x,0.5411904364022734,0.17461869825950604
left_heel_y,0.7610867293633692,0.12219453818054923
left_heel_z,0.35560108087737213,0.39319076702947686
left_heel_v,0.8198880111672168,0.18718864142593358
right_heel_x,0.38176668028148447,0.209362527761204
right_heel_y,0.7521288828822461,0.11652664351844638
right_heel_z,0.43688433707507945,0.3528962025516478
right_heel_v,0.7935659350511968,0.20510733266669115
left_foot_index_x,0.5663117175064389,0.1619375099665983
left_foot_index_y,0.7866353153840785,0.12658159545612446
left_foot_index_z,0.21944603623910433,0.4304132818087367
left_foot_index_v,0.8817905012298066,0.1963508479771785
right_foot_index_x,0.380082074276827,0.19262277201788797
right_foot_index_y,0.7815518320605448,0.11953039905299524
right_foot_index_z,0.30589713102283683,0.3915856767628438
right_foot_index_v,0.8629533298448306,0.21544388353544996
