,Average (Mean),Tolerance (Std)
right_shoulder_v,0.9987660900953699,0.0017496693405057466
left_elbow_x,0.4710871926497243,0.1872854849920078
left_elbow_y,0.43655292932584505,0.07455690143751605
left_elbow_z,-0.16687146685387727,0.3655256368919851
left_elbow_v,0.7067892193603067,0.3191285124720947
right_elbow_x,0.516325419793749,0.15656543471623058
right_elbow_y,0.422039691449756,0.06931782216547948
right_elbow_z,0.09920127255539508,0.34723379040808783
right_elbow_v,0.4470627265142423,0.38203198464633814
left_wrist_x,0.4247563034815757,0.1666914356189767
left_wrist_y,0.40558569764372243,0.08062952753574591
left_wrist_z,-0.0060426320217194344,0.48394953806697305
left_wrist_v,0.5768473606260134,0.36750971941495186
right_wrist_x,0.4746601290863488,0.15094261237685383
right_wrist_y,0.39360623301471354,0.0761629568753647
right_wrist_z,0.22051876157735775,0.5233441862195174
right_wrist_v,0.36732971797953395,0.3534883048120246
left_pinky_x,0.4092087272942571,0.17196104266666795
left_pinky_y,0.3989308889255514,0.08618569352136556
left_pinky_z,-0.011059826453016315,0.5208877066356917
left_pinky_v,0.5577374812606286,0.35431999893304217
right_pinky_x,0.4681439118846828,0.15642618576084677
right_pinky_y,0.3842066652408333,0.08165629323884889
right_pinky_z,0.2320225032993189,0.5684470102143733
right_pinky_v,0.35399810156998873,0.32837630244742183
left_index_x,0.41892629562991734,0.16743906773440995
left_index_y,0.38781495406429267,0.08502974301634174
left_index_z,-0.004635613049386079,0.5147458903670199
left_index_v,0.5565735537268307,0.3524657088035269
right_index_x,0.4604983304009606,0.15328999639760613
right_index_y,0.3776121999368658,0.08069207713509657
right_index_z,0.2242285701194553,0.5579688364385919
right_index_v,0.3467229972373069,0.3244080988740918
left_thumb_x,0.42526298126564965,0.16332520209626686
left_thumb_y,0.3902046802362281,0.08241792934722354
left_thumb_z,0.003389029730953356,0.48458773896873203
left_thumb_v,0.5309190634530414,0.33992260082396225
right_thumb_x,0.46233264037594013,0.14926450919711717
right_thumb_y,0.3817396713508916,0.0782757919909128
right_thumb_z,0.22036936292607803,0.5252375154044043
right_thumb_v,0.333068993471574,0.30749107318705876
left_hip_x,0.529507786176605,0.16438424191145096
left_hip_y,0.5464902961497646,0.06821195395500683
left_hip_z,-0.05485558915186319,0.1603503349039687
left_hip_v,0.9983009750948775,0.003001436190149556
right_hip_x,0.5502404796695555,0.18075168182419765
right_hip_y,0.5405768395866039,0.06535643653178679
right_hip_z,0.054765183716499875,0.160481800585839
right_hip_v,0.9980330099855185,0.0033284927212080513
left_knee_x,0.46621068628290485,0.14161961698787492
left_knee_y,0.6775419794776634,0.08898051975840374
left_knee_z,0.07642355997798639,0.3028192075931962
left_knee_v,0.8768594402747482,0.19799020343791812
right_knee_x,0.5585390609045437,0.20351068775723313
right_knee_y,0.6671894864027453,0.0854486851598512
right_knee_z,0.2624563338608549,0.2970252028474357
right_knee_v,0.7740477952339575,0.2543681036270697
left_ankle_x,0.4576846886858693,0.17405626065578084
left_ankle_y,0.8113756070965015,0.10631448467214305
left_ankle_z,0.2539537489349192,0.41548826450958787
left_ankle_v,0.8834533528459603,0.18197654655009438
right_ankle_x,0.592373464930307,0.2541600207047583
right_ankle_y,0.7845554150451637,0.11093691733317078
right_ankle_z,0.48537605008562607,0.45142557129806227
right_ankle_v,0.7729106705439034,0.2794118205515436
left_heel_x,0.46762732399686036,0.17990272379778707
left_heel_y,0.8364272944714575,0.11077351116685462
left_heel_z,0.2709636855109591,0.4292841056664836
left_heel_v,0.8658251528747428,0.1736663316244581
right_heel_x,0.6010183976470355,0.2685026333292468
right_heel_y,0.8049714043179613,0.1160501780714993
right_heel_z,0.5072034497792073,0.4707658441121943
right_heel_v,0.7587235664283392,0.25501303314133916
left_foot_index_x,0.4120933460800221,0.20677422069251727
left_foot_index_y,0.8381573130494039,0.10920127580740581
left_foot_index_z,0.20654034814661612,0.48736737705248845
left_foot_index_v,0.848714001181173,0.18048129074731528
right_foot_index_x,0.5758039203593549,0.23753656413125837
right_foot_index_y,0.8141332514914459,0.1135935146727524
right_foot_index_z,0.4622776588747488,0.5112482966722735
right_foot_index_v,0.74382051808354,0.24552068775800642
